3i Group PLC,980,915.38
Admiral Group PLC,1912,737.91
Anglo American PLC,1482.5,"4,006.65"
Antofagasta PLC,984,"2,237.93"
Ashtead Group PLC,1960,"1,332.72"
Associated British Foods PLC,3295,521.57
AstraZeneca PLC,5120,"1,413.52"
Aviva PLC,512,"7,475.45"
Babcock International Group...,812,"1,909.15"
BAE Systems PLC,593.25,"6,187.78"
Barclays PLC,186.65,"53,617.79"
Barratt Developments PLC,655.5,"3,142.41"
Berkeley Group Holdings (Th...,3677.5,526.81
BHP Billiton PLC,1422,"6,424.50"
BP PLC,513.5,"24,993.13"
British American Tobacco PLC,4966.75,"2,963.24"
British Land Co PLC,602,"2,949.44"
BT Group PLC,265.62,"23,250.31"
Bunzl PLC,2351,462.78
Burberry Group PLC,1899.5,"2,680.27"
Carnival PLC,4935,434.82
Centrica PLC,185,"17,581.08"
Coca-Cola HBC AG,2813.5,753.22
Compass Group PLC,1595.5,"2,230.98"
ConvaTec Group PLC,210,"5,911.44"
CRH PLC,2804.5,"1,844.84"
Croda International PLC,4242.5,341.07
DCC PLC,7315,191.28
Diageo PLC,2555,"2,572.42"
Direct Line Insurance Group...,365.8,"2,886.75"
easyJet PLC,1311.5,"1,589.14"
Experian PLC,1582.5,"1,539.72"
Ferguson PLC,5350,738.2
Fresnillo PLC,1334.5,988.03
G4S PLC,275,"5,843.83"
GKN PLC,318,"6,759.87"
GlaxoSmithKline PLC,1365,"7,047.22"
Glencore PLC,380,"26,267.52"
Hammerson PLC,526,"2,704.80"
Hargreaves Lansdown PLC,1584,465.8
HSBC Holdings PLC,733.5,"19,977.02"
Imperial Brands PLC,3071.5,"2,622.30"
Informa PLC,698.25,"2,143.81"
InterContinental Hotels Gro...,4460,632.64
International Consolidated ...,624,"17,822.15"
Intertek Group PLC,5200,236.44
ITV PLC,160.95,"16,001.67"
Johnson Matthey PLC,3350,701.46
Kingfisher PLC,320,"15,010.84"
Land Securities Group PLC,959,"1,720.59"
Legal & General Group PLC,270.25,"11,285.39"
Lloyds Banking Group PLC,68,"104,695.00"
London Stock Exchange Group...,3755,572.35
Marks & Spencer Group PLC,329.5,"7,178.63"
Mediclinic International PLC,719.5,"1,205.15"
Merlin Entertainments PLC,378,"4,018.60"
Micro Focus International PLC,2492.5,"1,026.11"
Mondi PLC,2327.5,"1,665.25"
Morrison (Wm) Supermarkets PLC,250.25,"9,178.84"
National Grid PLC,930,"7,270.94"
Next PLC,4505,637.03
NMC Health PLC,3046,305.55
Old Mutual PLC,192.5,"7,408.91"
Paddy Power Betfair PLC,8067.5,258.92
Pearson PLC,707.5,"3,522.78"
Persimmon PLC,2853.5,"1,017.83"
Prudential PLC,1863,"3,413.11"
Randgold Resources Ltd,6745,725.79
Reckitt Benckiser Group PLC,6590,"1,461.21"
RELX PLC,1725,"2,432.41"
Rentokil Initial PLC,314,"7,974.70"
Rio Tinto PLC,3700,"2,335.15"
Rolls-Royce Holdings PLC,960.5,"19,165.82"
Royal Bank of Scotland Grou...,272.8,"11,630.05"
Royal Dutch Shell PLC,2475,"4,923.83"
RSA Insurance Group PLC,631,"3,198.29"
Sage Group (The) PLC,767.5,"1,860.30"
Sainsbury (J) PLC,236.9,"7,991.18"
Schroders PLC,3539,287.07
Scottish Mortgage Investmen...,454.5,"3,088.21"
Segro PLC,484.5,"2,102.43"
Severn Trent PLC,2110,710.92
Shire PLC,3740,"2,707.67"
Sky PLC,862.5,"1,817.60"
Smith & Nephew PLC,1380,"5,304.34"
Smiths Group PLC,1567.5,861.07
Smurfit Kappa Group PLC,2400,520.3
SSE PLC,1365.5,"1,723.74"
Standard Chartered PLC,727.5,"6,253.10"
Standard Life Aberdeen PLC,436,"4,500.87"
St James's Place PLC,1182.5,"1,637.83"
Taylor Wimpey PLC,200.85,"12,784.80"
Tesco PLC,180.25,"17,044.37"
TUI AG,1423.5,"1,051.20"
Unilever PLC,4150,"1,745.47"
United Utilities Group PLC,829.5,"1,514.77"
Vodafone Group PLC,217.75,"53,096.03"
Whitbread PLC,3697.5,635.29
Worldpay Group PLC,419.5,"4,046.98"
WPP PLC,1325,"2,597.02"
